TopDownLevel,sample5,35,11
PlayerStartLocation,3,3
BackgroundTile,MiniWorldSprites/Ground/Grass.png,2,0
StaticGameObject,Wall,0,0
StaticGameObject,Wall,1,0
StaticGameObject,Wall,2,0
StaticGameObject,Wall,3,0
StaticGameObject,Wall,4,0
StaticGameObject,Wall,5,0
StaticGameObject,Wall,6,0
StaticGameObject,Wall,7,0
StaticGameObject,Wall,8,0
StaticGameObject,Wall,9,0
StaticGameObject,Wall,10,0
StaticGameObject,Wall,11,0
StaticGameObject,Wall,12,0
StaticGameObject,Wall,13,0
StaticGameObject,Wall,14,0
StaticGameObject,Wall,15,0
StaticGameObject,Wall,16,0
StaticGameObject,Wall,17,0
StaticGameObject,Wall,18,0
StaticGameObject,Wall,19,0
StaticGameObject,Wall,20,0
StaticGameObject,Wall,21,0
StaticGameObject,Wall,22,0
StaticGameObject,Wall,23,0
StaticGameObject,Wall,24,0
StaticGameObject,Wall,25,0
StaticGameObject,Wall,26,0
StaticGameObject,Wall,27,0
StaticGameObject,Wall,28,0
StaticGameObject,Wall,29,0
StaticGameObject,Wall,0,9
StaticGameObject,Wall,0,8
StaticGameObject,Wall,0,7
StaticGameObject,Wall,0,6
StaticGameObject,Wall,0,5
StaticGameObject,Wall,0,4
StaticGameObject,Wall,0,3
StaticGameObject,Wall,0,2
StaticGameObject,Wall,0,1
StaticGameObject,Wall,5,3
StaticGameObject,Wall,4,2
StaticGameObject,Wall,3,2
StaticGameObject,Wall,2,3
StaticGameObject,Wall,2,4
StaticGameObject,Wall,3,5
StaticGameObject,Wall,4,5
StaticGameObject,Wall,5,6
StaticGameObject,Wall,5,7
StaticGameObject,Wall,4,8
StaticGameObject,Wall,3,8
StaticGameObject,Wall,2,7
StaticGameObject,Wall,0,10
StaticGameObject,Wall,1,10
StaticGameObject,Wall,2,10
StaticGameObject,Wall,3,10
StaticGameObject,Wall,4,10
StaticGameObject,Wall,6,10
StaticGameObject,Wall,9,10
StaticGameObject,Wall,7,10
StaticGameObject,Wall,5,10
StaticGameObject,Wall,8,10
StaticGameObject,Wall,10,10
StaticGameObject,Wall,11,10
StaticGameObject,Wall,12,10
StaticGameObject,Wall,13,10
StaticGameObject,Wall,14,10
StaticGameObject,Wall,15,10
StaticGameObject,Wall,16,10
StaticGameObject,Wall,17,10
StaticGameObject,Wall,18,10
StaticGameObject,Wall,19,10
StaticGameObject,Wall,20,10
StaticGameObject,Wall,21,10
StaticGameObject,Wall,22,10
StaticGameObject,Wall,23,10
StaticGameObject,Wall,24,10
StaticGameObject,Wall,25,10
StaticGameObject,Wall,26,10
StaticGameObject,Wall,27,10
StaticGameObject,Wall,28,10
StaticGameObject,Wall,29,10
StaticGameObject,Wall,8,6
StaticGameObject,Wall,9,6
StaticGameObject,Wall,10,6
StaticGameObject,Wall,10,5
StaticGameObject,Wall,9,4
StaticGameObject,Wall,8,4
StaticGameObject,Wall,7,5
StaticGameObject,Wall,7,6
StaticGameObject,Wall,7,7
StaticGameObject,Wall,8,8
StaticGameObject,Wall,9,8
StaticGameObject,Wall,15,5
StaticGameObject,Wall,14,4
StaticGameObject,Wall,13,4
StaticGameObject,Wall,12,5
StaticGameObject,Wall,12,6
StaticGameObject,Wall,12,7
StaticGameObject,Wall,13,8
StaticGameObject,Wall,14,8
StaticGameObject,Wall,15,7
StaticGameObject,Wall,17,5
StaticGameObject,Wall,17,6
StaticGameObject,Wall,17,4
StaticGameObject,Wall,17,7
StaticGameObject,Wall,17,8
StaticGameObject,Wall,18,5
StaticGameObject,Wall,19,4
StaticGameObject,Wall,20,5
StaticGameObject,Wall,22,6
StaticGameObject,Wall,23,6
StaticGameObject,Wall,24,6
StaticGameObject,Wall,25,6
StaticGameObject,Wall,25,5
StaticGameObject,Wall,24,4
StaticGameObject,Wall,23,4
StaticGameObject,Wall,22,5
StaticGameObject,Wall,22,7
StaticGameObject,Wall,23,8
StaticGameObject,Wall,24,8
StaticGameObject,Wall,30,10
StaticGameObject,Wall,31,10
StaticGameObject,Wall,32,10
StaticGameObject,Wall,33,10
StaticGameObject,Wall,34,10
StaticGameObject,Wall,34,9
StaticGameObject,Wall,34,8
StaticGameObject,Wall,34,2
StaticGameObject,Wall,34,1
StaticGameObject,Wall,34,0
StaticGameObject,Wall,33,0
StaticGameObject,Wall,32,0
StaticGameObject,Wall,31,0
StaticGameObject,Wall,30,0
StaticGameObject,Wall,29,8
StaticGameObject,Wall,29,7
StaticGameObject,Wall,29,6
StaticGameObject,Wall,29,5
StaticGameObject,Wall,29,4
StaticGameObject,Wall,29,3
StaticGameObject,Wall,28,4
StaticGameObject,Wall,31,4
StaticGameObject,Wall,29,2
StaticGameObject,Wall,30,4
StaticGameObject,Wall,27,4
StaticGameObject,InfoNode,31,5,You can walk around outside levels. You can expand the window to see a little farther but then you stop getting rendered
